Precision,Recall,accuracy,loss,val_Precision,val_Recall,val_accuracy,val_loss
0.6555555462837219,0.13388805091381073,0.8065624833106995,0.44458281993865967,0.8613861203193665,0.27018633484840393,0.8443750143051147,0.3872392773628235
0.7454819083213806,0.37443268299102783,0.8443750143051147,0.3758578896522522,0.8167939186096191,0.3322981297969818,0.8506249785423279,0.35937950015068054
0.7344912886619568,0.44780635833740234,0.8525000214576721,0.353768527507782,0.8244274854660034,0.3354037404060364,0.8518750071525574,0.35690540075302124
0.7339003682136536,0.4568835198879242,0.8535937666893005,0.34718945622444153,0.7121211886405945,0.4378882050514221,0.8512499928474426,0.3448807895183563
0.7476635575294495,0.48411497473716736,0.8596875071525574,0.3405805826187134,0.6514523029327393,0.4875776469707489,0.8443750143051147,0.3482401371002197
0.76241135597229,0.487897127866745,0.8628125190734863,0.3380364179611206,0.6764705777168274,0.5,0.8512499928474426,0.34335196018218994
0.7468499541282654,0.4931921362876892,0.8607812523841858,0.33555981516838074,0.7128713130950928,0.44720497727394104,0.8525000214576721,0.34020522236824036
0.7534722089767456,0.4924356937408447,0.8618749976158142,0.33195599913597107,0.7169811129570007,0.47204968333244324,0.856249988079071,0.3398064076900482
0.7617411017417908,0.5030257105827332,0.8648437261581421,0.3295726776123047,0.7606382966041565,0.4440993666648865,0.8600000143051147,0.33813533186912537
0.7609921097755432,0.5105900168418884,0.8657812476158142,0.32719719409942627,0.7486631274223328,0.43478259444236755,0.8568750023841858,0.340311199426651
0.7745327353477478,0.501512885093689,0.8668749928474426,0.3250460922718048,0.699999988079071,0.47826087474823,0.8537499904632568,0.33953994512557983
0.7674685120582581,0.5068078637123108,0.866406261920929,0.3246913552284241,0.745945930480957,0.4285714328289032,0.8556249737739563,0.3400397002696991
0.7630385756492615,0.5090771317481995,0.8659374713897705,0.32264190912246704,0.6913043260574341,0.49378880858421326,0.8537499904632568,0.3385980725288391
0.7643097639083862,0.5151286125183105,0.8670312762260437,0.32106631994247437,0.6986899375915527,0.4968944191932678,0.8556249737739563,0.34223929047584534
